,id,address,addressStreet,addressCity,addressZipcode,beds,baths,area,price,latitude,longitude
149,13194403,"311 Switzerland Park Rd, Boulder, CO 80302",311 Switzerland Park Rd,Boulder,80302,3,2,2682,1250000,40.00723,-105.43107
150,13185818,"455 S 41st St, Boulder, CO 80305",455 S 41st St,Boulder,80305,5,3,2800,1229500,39.98621,-105.24667
151,13241670,"3174 Redstone Rd, Boulder, CO 80305",3174 Redstone Rd,Boulder,80305,3,4,2974,2095000,39.96575,-105.2544
152,13184716,"825 Inca Pkwy, Boulder, CO 80303",825 Inca Pkwy,Boulder,80303,5,3,1710,975000,40.00184,-105.24033
153,13198963,"720 Crescent Drive, Boulder, CO 80303",720 Crescent Drive,Boulder,80303,3,3,2076,1295000,40.00073,-105.229294
154,13177645,"1928 Baseline Rd, Boulder, CO 80302",1928 Baseline Rd,Boulder,80302,3,2,2312,1395000,39.99983,-105.26805
155,13214775,"4269 Carter Trl, Boulder, CO 80301",4269 Carter Trl,Boulder,80301,4,3,2070,950000,40.05224,-105.18707
156,13177263,"2610 Lloyd Cir, Boulder, CO 80304",2610 Lloyd Cir,Boulder,80304,2,2,1223,1350000,40.0384,-105.26293
157,13197614,"1402 Old Tale Road, Boulder, CO 80303",1402 Old Tale Road,Boulder,80303,3,3,3716,1995000,40.011208,-105.21528
158,81885651,"335 Lee Hill Dr, Boulder, CO 80302",335 Lee Hill Dr,Boulder,80302,4,6,8701,10900000,40.06469,-105.29049
159,13230253,"4704 Edison Lane, Boulder, CO 80301",4704 Edison Lane,Boulder,80301,3,2,1330,550000,40.03058,-105.24381
160,13182439,"1305 Linden Ave, Boulder, CO 80304",1305 Linden Ave,Boulder,80304,3,3,1870,1185000,40.04145,-105.28022
161,13192786,"127 Wild Tiger Rd, Boulder, CO 80302",127 Wild Tiger Rd,Boulder,80302,4,3,2850,2000000,40.02208,-105.38257
162,13181255,"345 Norton St, Boulder, CO 80305",345 Norton St,Boulder,80305,3,3,3449,2150000,39.98822,-105.26541
