address,addressZipcode,beds,baths,area,price,year,source
"1490 CHAMBERS DR , BOULDER, CO 80305-6733",80305-6733,3.0,2.5,2000.0,690000,2018,bouldercounty
"1830 17TH ST 5, BOULDER, CO 80305",80305,1.0,1.0,672.0,499900,2018,bouldercounty
"2310 SPOTSWOOD PL , BOULDER, CO 80304",80304,5.0,3.5,6307.0,1529000,2018,bouldercounty
"4585 13TH ST 1F, BOULDER, CO 80304-4822",80304-4822,2.0,1.5,1123.0,617000,2018,bouldercounty
"1470 PATTON DR , BOULDER, CO 80303",80303,4.0,4.0,5229.0,1122500,2018,bouldercounty
"4120 EUTAW DR , BOULDER, CO 80303",80303,3.0,1.5,1708.0,744500,2018,bouldercounty
"850 MOORHEAD CIR 1F, HIGHLANDS RANCH, CO 80126",80126,1.0,1.0,621.0,245000,2018,bouldercounty
"2515 7TH ST , BOULDER, CO 80304",80304,1.0,1.0,690.0,675000,2018,bouldercounty
"4886 HOPKINS PL , BOULDER, CO 80301",80301,3.0,2.0,2017.0,639000,2018,bouldercounty
"2022 HERMOSA DR , BOULDER, CO 80304",80304,2.0,1.0,961.0,1775000,2018,bouldercounty
"3520 16TH ST , BOULDER, CO 80304-1803",80304-1803,3.0,1.5,1672.0,784000,2018,bouldercounty
"3003 VALMONT RD 258, SANTA FE, NM 87594",87594,0.0,0.0,0.0,53400,2018,bouldercounty
"855 LAUREL AVE , BOULDER, CO 80303",80303,5.0,2.0,2099.0,870000,2018,bouldercounty
"4965 RICARA DR , BOULDER, CO 80303",80303,3.0,2.0,1352.0,599000,2018,bouldercounty
"3805 BRITTING AVE , BOULDER, CO 80305",80305,4.0,2.0,2689.0,880000,2018,bouldercounty
"4272 GRAHAM CT , ESCONDIDO, CA 92025",92025,6.0,2.0,1926.0,787500,2018,bouldercounty
"1501 UPLAND AVE , BOULDER, CO 80304-0828",80304-0828,4.0,3.5,4645.0,2030000,2018,bouldercounty
"7310 POSTON WAY , BOULDER, CO 80301-6402",80301-6402,4.0,3.0,2928.0,697000,2018,bouldercounty
"3301 ARAPAHOE AVE 414, PITTSBORO, NC 27312",27312,1.0,1.0,1013.0,588400,2018,bouldercounty
"3256 REDSTONE LN F9, BOULDER, CO 80305",80305,2.0,1.5,1064.0,488500,2018,bouldercounty
"3329 CRIPPLE CREEK TRL C11, JACKSON, NH 3846",3846,2.0,1.0,832.0,36750,2018,bouldercounty
"445 DEWEY AVE , SAN FRANCISCO, CA 94105-2357",94105-2357,4.0,2.5,1338.0,925000,2018,bouldercounty
